дата;t_avg;t_min;t_max
29.01.2021;-6,7;-9;-4
30.01.2021;-4,6;-8;0
31.01.2021;-5,1;-7;-3
01.02.2021;-1;-6;1
02.02.2021;-0,1;-1;1
03.02.2021;-0,5;-2;3
04.02.2021;2,5;-1;6
05.02.2021;5,4;3;8
06.02.2021;3,9;1;7
07.02.2021;0,5;-4;4
08.02.2021;-4,7;-8;-2
09.02.2021;-0,8;-3;1
10.02.2021;-1,1;-3;2
11.02.2021;-2,2;-3;0
12.02.2021;-3,5;-7;-1
13.02.2021;-2,3;-4;-1
14.02.2021;0;-3;3
15.02.2021;0,5;-1;2
16.02.2021;4,6;1;11
17.02.2021;-2;-6;1
18.02.2021;-2,7;-4;-1
19.02.2021;-0,8;-2;1
20.02.2021;-0,6;-3;1
21.02.2021;-0,8;-4;2
22.02.2021;1,9;0;4
23.02.2021;4,6;2;7
24.02.2021;8,1;4;12
25.02.2021;7;4;10
26.02.2021;4,2;1;7
27.02.2021;7,1;3;10
